store_name,region,store_type,category,month_name,month,revenue,cost,units,transactions
RetailPulse Central #033,Central,Suburban,Home & Kitchen,November,11,456105.79,358816.8,208,55
RetailPulse Central #033,Central,Suburban,Personal Care,November,11,89377.84,67406.5,212,59
RetailPulse Central #033,Central,Suburban,Stationery,November,11,52716.12,43857.35,180,42
RetailPulse Central #033,Central,Suburban,Apparel,December,12,331309.79,224702.25,209,52
RetailPulse Central #033,Central,Suburban,Beverages,December,12,30058.22,25632.53,217,53
RetailPulse Central #033,Central,Suburban,Electronics,December,12,2162236.49,1794547.05,173,38
RetailPulse Central #033,Central,Suburban,Grocery,December,12,47423.06,42760.45,201,50
RetailPulse Central #033,Central,Suburban,Home & Kitchen,December,12,532004.2,414021.04,211,55
RetailPulse Central #033,Central,Suburban,Personal Care,December,12,81341.83,60440.86,194,42
RetailPulse Central #033,Central,Suburban,Stationery,December,12,44887.83,36003.73,187,45
RetailPulse Central #034,Central,Suburban,Apparel,October,10,350765.51,230256.03,248,46
RetailPulse Central #034,Central,Suburban,Beverages,October,10,24051.04,21181.93,162,48
RetailPulse Central #034,Central,Suburban,Electronics,October,10,4830065.47,4335748.71,396,57
RetailPulse Central #034,Central,Suburban,Grocery,October,10,30165.28,26515.58,121,44
RetailPulse Central #034,Central,Suburban,Home & Kitchen,October,10,279417.16,222221.38,120,43
RetailPulse Central #034,Central,Suburban,Personal Care,October,10,64574.18,50911.55,162,49
RetailPulse Central #034,Central,Suburban,Stationery,October,10,41835.75,33564.659999999996,146,46
RetailPulse Central #034,Central,Suburban,Apparel,November,11,567876.37,375926.16,328,56
RetailPulse Central #034,Central,Suburban,Beverages,November,11,18316.04,15775.55,116,37
RetailPulse Central #034,Central,Suburban,Electronics,November,11,5239759.94,4462235.76,381,52
RetailPulse Central #034,Central,Suburban,Grocery,November,11,35927.9,32447.09,149,51
RetailPulse Central #034,Central,Suburban,Home & Kitchen,November,11,257553.33,200227.98,110,37
RetailPulse Central #034,Central,Suburban,Personal Care,November,11,69766.53,49814.71,138,46
RetailPulse Central #034,Central,Suburban,Stationery,November,11,44873.98,36890.46,170,48
RetailPulse Central #034,Central,Suburban,Apparel,December,12,303117.41,201545.85,177,55
RetailPulse Central #034,Central,Suburban,Beverages,December,12,24687.68,21780.32,189,62
RetailPulse Central #034,Central,Suburban,Electronics,December,12,1935721.24,1648265.05,143,50
RetailPulse Central #034,Central,Suburban,Grocery,December,12,44356.78,38697.21,177,52
RetailPulse Central #034,Central,Suburban,Home & Kitchen,December,12,380133.24,297789.02,141,45
RetailPulse Central #034,Central,Suburban,Personal Care,December,12,53996.95,39366.88,137,45
RetailPulse Central #034,Central,Suburban,Stationery,December,12,49501.9,40169.86,199,64
RetailPulse Central #039,Central,Suburban,Apparel,October,10,551004.28,365644.35,359,55
RetailPulse Central #039,Central,Suburban,Beverages,October,10,26023.86,22775.52,178,46
RetailPulse Central #039,Central,Suburban,Electronics,October,10,4895466.45,4170276.54,401,54
RetailPulse Central #039,Central,Suburban,Grocery,October,10,28173.76,26652.22,135,37
RetailPulse Central #039,Central,Suburban,Home & Kitchen,October,10,423637.5,336333.63,159,46
RetailPulse Central #039,Central,Suburban,Personal Care,October,10,68293.06,48517.77,163,44
RetailPulse Central #039,Central,Suburban,Stationery,October,10,49481.53,40578.42,224,56
RetailPulse Central #039,Central,Suburban,Apparel,November,11,461190.54,313085.42,315,50
RetailPulse Central #039,Central,Suburban,Beverages,November,11,24393.52,21267.5,178,56
RetailPulse Central #039,Central,Suburban,Electronics,November,11,4808012.57,4154959.61,386,45
RetailPulse Central #039,Central,Suburban,Grocery,November,11,43382.46,38733.9,180,51
RetailPulse Central #039,Central,Suburban,Home & Kitchen,November,11,517603.59,411639.8,192,50
RetailPulse Central #039,Central,Suburban,Personal Care,November,11,70088.0,51870.73,178,50
RetailPulse Central #039,Central,Suburban,Stationery,November,11,59537.18,47060.56,197,53
RetailPulse Central #039,Central,Suburban,Apparel,December,12,290919.44,197478.86,185,49
RetailPulse Central #039,Central,Suburban,Beverages,December,12,24463.81,21384.89,188,55
RetailPulse Central #039,Central,Suburban,Electronics,December,12,2587221.12,2226486.36,188,53
RetailPulse Central #039,Central,Suburban,Grocery,December,12,44916.58,40073.5,200,59
RetailPulse Central #039,Central,Suburban,Home & Kitchen,December,12,430727.82,341701.57,194,57
RetailPulse Central #039,Central,Suburban,Personal Care,December,12,85625.93000000001,63329.39,220,60
RetailPulse Central #039,Central,Suburban,Stationery,December,12,35636.44,28365.88,144,43
RetailPulse Central #041,Central,Rural,Apparel,October,10,408139.31,275483.29,247,47
RetailPulse Central #041,Central,Rural,Beverages,October,10,20859.22,18157.19,132,41
RetailPulse Central #041,Central,Rural,Electronics,October,10,3382837.0500000003,2860710.48,256,46
RetailPulse Central #041,Central,Rural,Grocery,October,10,31183.3,27162.3,129,49
RetailPulse Central #041,Central,Rural,Home & Kitchen,October,10,362869.45,280480.43,147,60
RetailPulse Central #041,Central,Rural,Personal Care,October,10,54673.76,40932.55,152,48
RetailPulse Central #041,Central,Rural,Stationery,October,10,31675.62,25803.44,115,44
RetailPulse Central #041,Central,Rural,Apparel,November,11,389224.94,250732.69,223,42
RetailPulse Central #041,Central,Rural,Beverages,November,11,22040.73,18728.98,139,52
RetailPulse Central #041,Central,Rural,Electronics,November,11,4648667.64,3929787.62,353,49
RetailPulse Central #041,Central,Rural,Grocery,November,11,36041.83,31953.89,151,48
RetailPulse Central #041,Central,Rural,Home & Kitchen,November,11,359060.04,273031.14,147,51
RetailPulse Central #041,Central,Rural,Personal Care,November,11,72852.31,53764.08,155,53
RetailPulse Central #041,Central,Rural,Stationery,November,11,29155.99,23483.4,100,34
RetailPulse Central #041,Central,Rural,Apparel,December,12,254182.8,170144.82,169,52
RetailPulse Central #041,Central,Rural,Beverages,December,12,12859.61,11207.11,111,40
RetailPulse Central #041,Central,Rural,Electronics,December,12,1893713.26,1586267.98,139,43
RetailPulse Central #041,Central,Rural,Grocery,December,12,38227.05,33447.12,164,53
RetailPulse Central #041,Central,Rural,Home & Kitchen,December,12,405190.73,323690.5,140,45
RetailPulse Central #041,Central,Rural,Personal Care,December,12,53378.69,39246.52,139,48
RetailPulse Central #041,Central,Rural,Stationery,December,12,30582.42,24762.09,127,53
RetailPulse Central #043,Central,Urban,Apparel,October,10,732344.73,506029.54,475,51
RetailPulse Central #043,Central,Urban,Beverages,October,10,32086.77,27645.8,201,41
RetailPulse Central #043,Central,Urban,Electronics,October,10,6642646.7299999995,5801981.11,488,47
RetailPulse Central #043,Central,Urban,Grocery,October,10,59979.22,52126.67,237,50
RetailPulse Central #043,Central,Urban,Home & Kitchen,October,10,732873.25,580803.34,284,54
RetailPulse Central #043,Central,Urban,Personal Care,October,10,100685.51,74031.85,261,52
RetailPulse Central #043,Central,Urban,Stationery,October,10,52686.69,43880.77,242,51
RetailPulse Central #043,Central,Urban,Apparel,November,11,588160.3,395777.67,403,46
RetailPulse Central #043,Central,Urban,Beverages,November,11,35714.96,30807.89,237,46
RetailPulse Central #043,Central,Urban,Electronics,November,11,4443744.98,3808239.76,369,35
RetailPulse Central #043,Central,Urban,Grocery,November,11,47528.78,41766.86,214,41
RetailPulse Central #043,Central,Urban,Home & Kitchen,November,11,615720.79,480649.25,259,51
RetailPulse Central #043,Central,Urban,Personal Care,November,11,71738.66,53087.04,174,33
RetailPulse Central #043,Central,Urban,Stationery,November,11,72505.13,59095.45,272,51
RetailPulse Central #043,Central,Urban,Apparel,December,12,521799.17,349348.72,313,57
RetailPulse Central #043,Central,Urban,Beverages,December,12,44647.09,39176.82,279,56
RetailPulse Central #043,Central,Urban,Electronics,December,12,2723112.3,2329003.5,225,49
RetailPulse Central #043,Central,Urban,Grocery,December,12,61284.01,55498.229999999996,272,53
RetailPulse Central #043,Central,Urban,Home & Kitchen,December,12,656611.81,522570.95,290,54
RetailPulse Central #043,Central,Urban,Personal Care,December,12,95790.23,70385.41,229,45
RetailPulse Central #043,Central,Urban,Stationery,December,12,52614.39,42619.8,250,54
RetailPulse Central #045,Central,Suburban,Apparel,October,10,551417.83,364985.15,365,53
RetailPulse Central #045,Central,Suburban,Beverages,October,10,26243.1,23080.37,183,48
RetailPulse Central #045,Central,Suburban,Electronics,October,10,6989852.8,5897571.25,472,54
RetailPulse Central #045,Central,Suburban,Grocery,October,10,34753.87,30829.15,176,54
RetailPulse Central #045,Central,Suburban,Home & Kitchen,October,10,398485.26,311917.66,163,48
RetailPulse Central #045,Central,Suburban,Personal Care,October,10,71495.29,51902.58,165,43
RetailPulse Central #045,Central,Suburban,Stationery,October,10,57259.16,46896.35,190,55
RetailPulse Central #045,Central,Suburban,Apparel,November,11,416919.91,281374.2,259,41
RetailPulse Central #045,Central,Suburban,Beverages,November,11,23020.38,19877.19,158,48
RetailPulse Central #045,Central,Suburban,Electronics,November,11,5861649.61,5102059.41,479,56
RetailPulse Central #045,Central,Suburban,Grocery,November,11,41426.52,36625.68,169,48
RetailPulse Central #045,Central,Suburban,Home & Kitchen,November,11,308850.27,242898.43,123,34
RetailPulse Central #045,Central,Suburban,Personal Care,November,11,53798.09,38573.8,118,33
RetailPulse Central #045,Central,Suburban,Stationery,November,11,34551.93,28747.43,139,39
RetailPulse Central #045,Central,Suburban,Apparel,December,12,241963.25,168390.25,142,44
RetailPulse Central #045,Central,Suburban,Beverages,December,12,27802.24,24516.24,201,56
RetailPulse Central #045,Central,Suburban,Electronics,December,12,2728154.62,2284262.94,207,56
RetailPulse Central #045,Central,Suburban,Grocery,December,12,42178.96,37058.97,176,50
RetailPulse Central #045,Central,Suburban,Home & Kitchen,December,12,548318.99,419091.33,179,48
RetailPulse Central #045,Central,Suburban,Personal Care,December,12,63204.0,46589.03,128,38
RetailPulse Central #045,Central,Suburban,Stationery,December,12,55992.76,45386.16,206,58
RetailPulse Central #055,Central,Suburban,Apparel,October,10,566428.58,376767.91,381,59
RetailPulse Central #055,Central,Suburban,Beverages,October,10,26913.6,23772.65,163,49
RetailPulse Central #055,Central,Suburban,Electronics,October,10,5434542.4799999995,4643677.55,401,52
RetailPulse Central #055,Central,Suburban,Grocery,October,10,48102.38,42737.36,207,58
RetailPulse Central #055,Central,Suburban,Home & Kitchen,October,10,418893.05,320501.91,161,47
RetailPulse Central #055,Central,Suburban,Personal Care,October,10,78185.67,57792.68,163,44
RetailPulse Central #055,Central,Suburban,Stationery,October,10,36858.51,29238.69,141,41
RetailPulse Central #055,Central,Suburban,Apparel,November,11,520632.0,351888.55,329,48
RetailPulse Central #055,Central,Suburban,Beverages,November,11,23003.17,20086.99,142,40
RetailPulse Central #055,Central,Suburban,Electronics,November,11,4181306.01,3530873.77,308,37
RetailPulse Central #055,Central,Suburban,Grocery,November,11,37240.47,34178.340000000004,148,43
RetailPulse Central #055,Central,Suburban,Home & Kitchen,November,11,548905.35,430358.59,195,53
RetailPulse Central #055,Central,Suburban,Personal Care,November,11,83309.89,61933.3,186,49
RetailPulse Central #055,Central,Suburban,Stationery,November,11,44194.86,36181.08,181,50
RetailPulse Central #055,Central,Suburban,Apparel,December,12,293339.18,188558.32,174,51
RetailPulse Central #055,Central,Suburban,Beverages,December,12,18411.53,16210.31,137,44
RetailPulse Central #055,Central,Suburban,Electronics,December,12,2037314.91,1738572.16,159,45
RetailPulse Central #055,Central,Suburban,Grocery,December,12,34610.159999999996,31756.62,168,56
RetailPulse Central #055,Central,Suburban,Home & Kitchen,December,12,393903.44,318065.74,158,40
RetailPulse Central #055,Central,Suburban,Personal Care,December,12,73860.59,55159.18,169,50
RetailPulse Central #055,Central,Suburban,Stationery,December,12,51289.15,41847.17,187,50
RetailPulse East #005,East,Suburban,Apparel,October,10,574735.13,375628.45,344,46
RetailPulse East #005,East,Suburban,Beverages,October,10,20287.18,17755.95,140,44
RetailPulse East #005,East,Suburban,Electronics,October,10,5792175.36,4949303.02,390,45
RetailPulse East #005,East,Suburban,Grocery,October,10,40774.08,35938.05,182,51
RetailPulse East #005,East,Suburban,Home & Kitchen,October,10,513536.89,412310.97000000003,199,47
RetailPulse East #005,East,Suburban,Personal Care,October,10,98900.59,72157.92,210,56
RetailPulse East #005,East,Suburban,Stationery,October,10,27711.81,22129.82,110,34
RetailPulse East #005,East,Suburban,Apparel,November,11,481885.84,312190.52,315,43
RetailPulse East #005,East,Suburban,Beverages,November,11,20390.94,17292.8,134,41
RetailPulse East #005,East,Suburban,Electronics,November,11,4902059.0,4141007.62,419,50
RetailPulse East #005,East,Suburban,Grocery,November,11,51111.94,46837.95,204,51
RetailPulse East #005,East,Suburban,Home & Kitchen,November,11,393679.31,310641.78,162,45
RetailPulse East #005,East,Suburban,Personal Care,November,11,55150.42,39836.47,146,39
RetailPulse East #005,East,Suburban,Stationery,November,11,57371.38,45997.97,226,54
RetailPulse East #005,East,Suburban,Apparel,December,12,329435.32,222076.06,195,49
RetailPulse East #005,East,Suburban,Beverages,December,12,24415.32,21342.8,164,43
RetailPulse East #005,East,Suburban,Electronics,December,12,3062058.41,2659743.46,233,57
RetailPulse East #005,East,Suburban,Grocery,December,12,54331.55,47529.2,200,45
RetailPulse East #005,East,Suburban,Home & Kitchen,December,12,620448.63,488950.84,235,64
RetailPulse East #005,East,Suburban,Personal Care,December,12,45514.37,32686.2,123,37
RetailPulse East #005,East,Suburban,Stationery,December,12,50616.36,40927.28,223,58
RetailPulse East #006,East,Metro,Apparel,October,10,919655.21,601036.25,530,51
RetailPulse East #006,East,Metro,Beverages,October,10,43829.71,38556.41,275,50
RetailPulse East #006,East,Metro,Electronics,October,10,8255680.92,6964164.3100000005,637,48
RetailPulse East #006,East,Metro,Grocery,October,10,76109.98,66355.9,288,51
RetailPulse East #006,East,Metro,Home & Kitchen,October,10,833984.98,661928.13,274,52
RetailPulse East #006,East,Metro,Personal Care,October,10,114739.48,83079.85,254,54
RetailPulse East #006,East,Metro,Stationery,October,10,70827.68,58990.38,277,46
RetailPulse East #006,East,Metro,Apparel,November,11,705162.14,465626.88,446,46
RetailPulse East #006,East,Metro,Beverages,November,11,43080.14,36988.83,302,58
RetailPulse East #006,East,Metro,Electronics,November,11,6927877.18,5913612.62,582,47
RetailPulse East #006,East,Metro,Grocery,November,11,58967.88,53189.34,234,43
RetailPulse East #006,East,Metro,Home & Kitchen,November,11,596497.33,469032.26,275,46
RetailPulse East #006,East,Metro,Personal Care,November,11,104575.85,77718.33,271,49
RetailPulse East #006,East,Metro,Stationery,November,11,54072.020000000004,44687.41,228,43
RetailPulse East #006,East,Metro,Apparel,December,12,622050.61,404084.04,350,56
RetailPulse East #006,East,Metro,Beverages,December,12,53658.58,45806.45,341,57
RetailPulse East #006,East,Metro,Electronics,December,12,3914533.79,3341060.78,276,51
RetailPulse East #006,East,Metro,Grocery,December,12,71924.49,63064.520000000004,273,49
RetailPulse East #006,East,Metro,Home & Kitchen,December,12,859929.3,678472.92,303,59
RetailPulse East #006,East,Metro,Personal Care,December,12,94724.39,69037.64,227,46
RetailPulse East #006,East,Metro,Stationery,December,12,93245.16,76708.62,337,54
RetailPulse East #009,East,Metro,Apparel,October,10,1078859.74,710164.1900000001,620,47
RetailPulse East #009,East,Metro,Beverages,October,10,41482.01,35983.28,259,42
RetailPulse East #009,East,Metro,Electronics,October,10,8242249.24,6887525.65,596,37
RetailPulse East #009,East,Metro,Grocery,October,10,57300.83,50874.23,235,38
RetailPulse East #009,East,Metro,Home & Kitchen,October,10,1004975.99,794420.35,386,52
RetailPulse East #009,East,Metro,Personal Care,October,10,115053.06,85525.24,296,47
RetailPulse East #009,East,Metro,Stationery,October,10,75460.31,59727.409999999996,290,39
RetailPulse East #009,East,Metro,Apparel,November,11,876338.66,577498.95,560,48
RetailPulse East #009,East,Metro,Beverages,November,11,62199.57,54745.0,366,51
RetailPulse East #009,East,Metro,Electronics,November,11,8311696.2,7087369.2700000005,732,46
RetailPulse East #009,East,Metro,Grocery,November,11,95627.65,85787.95,365,48
RetailPulse East #009,East,Metro,Home & Kitchen,November,11,1089503.57,875016.52,405,52
RetailPulse East #009,East,Metro,Personal Care,November,11,158587.47,114319.42,373,47
RetailPulse East #009,East,Metro,Stationery,November,11,64476.29,52599.31,271,39
RetailPulse East #009,East,Metro,Apparel,December,12,475912.02,315184.27999999997,326,46
RetailPulse East #009,East,Metro,Beverages,December,12,46454.53,39190.99,308,42
RetailPulse East #009,East,Metro,Electronics,December,12,3252872.46,2843097.06,287,42
RetailPulse East #009,East,Metro,Grocery,December,12,94253.18000000001,83441.9,439,57
RetailPulse East #009,East,Metro,Home & Kitchen,December,12,1227394.54,950151.92,408,54
RetailPulse East #009,East,Metro,Personal Care,December,12,155653.06,116880.54000000001,367,52
RetailPulse East #009,East,Metro,Stationery,December,12,111772.03,89508.39,391,54
RetailPulse East #010,East,Rural,Apparel,October,10,425779.01,288935.59,257,61
RetailPulse East #010,East,Rural,Beverages,October,10,14364.8,12745.01,92,44
RetailPulse East #010,East,Rural,Electronics,October,10,3315212.89,2848028.2399999998,239,52
RetailPulse East #010,East,Rural,Grocery,October,10,21676.98,19392.41,89,42
RetailPulse East #010,East,Rural,Home & Kitchen,October,10,344058.43,275659.53,121,55
RetailPulse East #010,East,Rural,Personal Care,October,10,43961.83,33248.58,104,54
RetailPulse East #010,East,Rural,Stationery,October,10,22493.6,17978.14,98,46
RetailPulse East #010,East,Rural,Apparel,November,11,340822.51,223260.88,209,49
RetailPulse East #010,East,Rural,Beverages,November,11,14038.23,12324.96,96,44
RetailPulse East #010,East,Rural,Electronics,November,11,3010222.27,2519646.35,211,48
RetailPulse East #010,East,Rural,Grocery,November,11,23229.15,20736.56,90,44
RetailPulse East #010,East,Rural,Home & Kitchen,November,11,374888.5,289836.5,123,56
RetailPulse East #010,East,Rural,Personal Care,November,11,31009.93,23613.94,73,33
RetailPulse East #010,East,Rural,Stationery,November,11,29397.94,23463.53,116,57
RetailPulse East #010,East,Rural,Apparel,December,12,149168.65,96033.87,87,45
RetailPulse East #010,East,Rural,Beverages,December,12,13286.84,11664.4,91,49
RetailPulse East #010,East,Rural,Electronics,December,12,1347394.35,1137816.78,105,51
RetailPulse East #010,East,Rural,Grocery,December,12,25420.16,22944.03,101,48
RetailPulse East #010,East,Rural,Home & Kitchen,December,12,322141.3,260115.15,124,58
RetailPulse East #010,East,Rural,Personal Care,December,12,59346.5,42722.08,138,58
RetailPulse East #010,East,Rural,Stationery,December,12,29666.98,24271.54,124,64
RetailPulse East #017,East,Urban,Apparel,October,10,618966.61,406453.32,381,51
RetailPulse East #017,East,Urban,Beverages,October,10,29875.2,26308.27,206,48
RetailPulse East #017,East,Urban,Electronics,October,10,7054391.96,5967831.11,517,52
RetailPulse East #017,East,Urban,Grocery,October,10,56627.45,50997.82,235,52
RetailPulse East #017,East,Urban,Home & Kitchen,October,10,449864.67,357747.56,193,48
RetailPulse East #017,East,Urban,Personal Care,October,10,90131.42,67032.51,213,55
RetailPulse East #017,East,Urban,Stationery,October,10,54941.3,43499.75,186,40
RetailPulse East #017,East,Urban,Apparel,November,11,655303.03,436306.26,438,54
RetailPulse East #017,East,Urban,Beverages,November,11,24349.079999999998,21800.35,174,40
RetailPulse East #017,East,Urban,Electronics,November,11,4801346.07,4155114.52,354,38
RetailPulse East #017,East,Urban,Grocery,November,11,50376.22,44526.62,210,49
RetailPulse East #017,East,Urban,Home & Kitchen,November,11,608111.03,477679.33999999997,236,54
RetailPulse East #017,East,Urban,Personal Care,November,11,88075.82,64680.770000000004,197,48
RetailPulse East #017,East,Urban,Stationery,November,11,52761.24,44457.44,219,48
RetailPulse East #017,East,Urban,Apparel,December,12,255653.63,171157.1,188,46
RetailPulse East #017,East,Urban,Beverages,December,12,36840.34,31750.27,244,55
RetailPulse East #017,East,Urban,Electronics,December,12,2885993.18,2472957.2,262,58
RetailPulse East #017,East,Urban,Grocery,December,12,51812.21,46524.84,233,54
RetailPulse East #017,East,Urban,Home & Kitchen,December,12,488151.04,378457.47000000003,184,43
RetailPulse East #017,East,Urban,Personal Care,December,12,115197.78,83311.58,285,58
RetailPulse East #017,East,Urban,Stationery,December,12,41366.42,33582.97,177,47
RetailPulse East #020,East,Rural,Apparel,October,10,298512.45,195032.72,168,33
RetailPulse East #020,East,Rural,Beverages,October,10,19286.5,16773.11,133,55
RetailPulse East #020,East,Rural,Electronics,October,10,2680804.57,2307360.95,224,43
RetailPulse East #020,East,Rural,Grocery,October,10,28908.66,25934.95,135,56
RetailPulse East #020,East,Rural,Home & Kitchen,October,10,243540.59,186598.61000000002,108,43
RetailPulse East #020,East,Rural,Personal Care,October,10,41614.409999999996,30604.600000000002,96,40
RetailPulse East #020,East,Rural,Stationery,October,10,30595.8,24311.58,109,44
RetailPulse East #020,East,Rural,Apparel,November,11,332181.32,227133.42,234,55
RetailPulse East #020,East,Rural,Beverages,November,11,18713.8,15904.84,118,51
RetailPulse East #020,East,Rural,Electronics,November,11,2950467.84,2530643.11,241,42
RetailPulse East #020,East,Rural,Grocery,November,11,21917.65,19260.43,93,37
RetailPulse East #020,East,Rural,Home & Kitchen,November,11,343869.96,268959.24,140,51
RetailPulse East #020,East,Rural,Personal Care,November,11,61007.47,45780.82,130,48
RetailPulse East #020,East,Rural,Stationery,November,11,29323.71,23641.58,114,49
RetailPulse East #020,East,Rural,Apparel,December,12,178660.74,122754.83,104,40
RetailPulse East #020,East,Rural,Beverages,December,12,19744.65,17408.25,116,47
RetailPulse East #020,East,Rural,Electronics,December,12,1849746.3,1555132.11,135,59
RetailPulse East #020,East,Rural,Grocery,December,12,28702.2,25352.36,110,48
RetailPulse East #020,East,Rural,Home & Kitchen,December,12,321752.6,254209.01,122,52
RetailPulse East #020,East,Rural,Personal Care,December,12,48003.42,34851.92,126,53
RetailPulse East #020,East,Rural,Stationery,December,12,43511.8,35316.07,165,64
RetailPulse East #028,East,Urban,Apparel,October,10,665546.81,442687.37,405,43
RetailPulse East #028,East,Urban,Beverages,October,10,39169.24,34065.7,216,39
RetailPulse East #028,East,Urban,Electronics,October,10,7401172.51,6528914.8,532,39
RetailPulse East #028,East,Urban,Grocery,October,10,60694.73,53667.0,261,48
RetailPulse East #028,East,Urban,Home & Kitchen,October,10,630987.14,492198.7,315,56
RetailPulse East #028,East,Urban,Personal Care,October,10,116777.18,83423.53,279,50
RetailPulse East #028,East,Urban,Stationery,October,10,43863.99,35307.02,191,34
RetailPulse East #028,East,Urban,Apparel,November,11,733909.12,486451.60000000003,452,46
RetailPulse East #028,East,Urban,Beverages,November,11,23225.16,20553.91,170,36
RetailPulse East #028,East,Urban,Electronics,November,11,7126279.66,6017771.65,554,43
RetailPulse East #028,East,Urban,Grocery,November,11,57394.85,51214.5,219,41
RetailPulse East #028,East,Urban,Home & Kitchen,November,11,476764.39,391850.99,198,40
RetailPulse East #028,East,Urban,Personal Care,November,11,139385.9,101072.09,302,60
RetailPulse East #028,East,Urban,Stationery,November,11,84409.08,69054.54,263,50
RetailPulse East #028,East,Urban,Apparel,December,12,404507.39,278519.09,261,46
RetailPulse East #028,East,Urban,Beverages,December,12,51180.77,44389.72,366,63
RetailPulse East #028,East,Urban,Electronics,December,12,3565001.08,3051757.69,278,50
RetailPulse East #028,East,Urban,Grocery,December,12,64139.88,56576.63,249,52
RetailPulse East #028,East,Urban,Home & Kitchen,December,12,677078.16,542276.14,284,59
RetailPulse East #028,East,Urban,Personal Care,December,12,130184.06999999999,97135.74,325,61
RetailPulse East #028,East,Urban,Stationery,December,12,70346.98,56629.06,275,48
RetailPulse East #035,East,Metro,Apparel,October,10,664901.01,438159.95,402,43
RetailPulse East #035,East,Metro,Beverages,October,10,47062.63,40984.81,321,54
RetailPulse East #035,East,Metro,Electronics,October,10,8450617.16,7227128.63,630,49
RetailPulse East #035,East,Metro,Grocery,October,10,62211.75,55895.65,244,50
RetailPulse East #035,East,Metro,Home & Kitchen,October,10,482148.32,374850.15,212,37
RetailPulse East #035,East,Metro,Personal Care,October,10,109454.57,78461.5,281,51
RetailPulse East #035,East,Metro,Stationery,October,10,72512.45,57967.54,265,50
RetailPulse East #035,East,Metro,Apparel,November,11,622929.07,418107.07,410,37
RetailPulse East #035,East,Metro,Beverages,November,11,44501.42,38760.31,266,47
RetailPulse East #035,East,Metro,Electronics,November,11,6835640.98,5843772.34,636,54
RetailPulse East #035,East,Metro,Grocery,November,11,58490.17,52474.57,268,44
RetailPulse East #035,East,Metro,Home & Kitchen,November,11,763228.52,598205.27,252,46
RetailPulse East #035,East,Metro,Personal Care,November,11,103637.47,78270.33,234,45
RetailPulse East #035,East,Metro,Stationery,November,11,66113.57,54633.22,276,53
RetailPulse East #035,East,Metro,Apparel,December,12,510403.85,346542.93,320,54
RetailPulse East #035,East,Metro,Beverages,December,12,42133.67,36177.67,284,46
RetailPulse East #035,East,Metro,Electronics,December,12,3796156.0,3231556.01,277,47
RetailPulse East #035,East,Metro,Grocery,December,12,71372.58,63726.55,296,56
RetailPulse East #035,East,Metro,Home & Kitchen,December,12,834335.33,662021.34,338,57
